Series, Page, NO., ID, Title 
2093, 1, 2, 1825044, 清史讲义 
2093, 1, 3, 1838055, 满洲开国史讲义 
2093, 1, 4, 1832715, 心史丛刊 
2093, 1, 5, 1825042, 明清史论著集刊（上下） 
2093, 1, 6, 3111426, 清朝前纪 
2093, 1, 7, 1956813, 明元清系通纪 
2093, 1, 8, 3082314, 孟森政论文集刊(全三册) 
2093, 1, 9, 3074037, 孟森政法著译辑刊（全三册） 
175, 1, 1, 2154534, 人文通识讲演录·历史卷 
175, 1, 2, 2160361, 人文通识讲演录 
175, 1, 3, 2160372, 人文通识讲演录 
175, 1, 4, 2160367, 人文教育卷-人文通识讲演录 
175, 1, 5, 2160369, 美学卷-人文通识讲演录 
175, 1, 6, 2160365, 人文通识讲演录 
175, 1, 7, 2160373, 人文通识讲演录 
175, 1, 8, 2160371, 人文通识讲演录（文化卷） 
175, 1, 9, 3052991, 人文通识讲演录 
52, 14, 326, 2033110, 克雷洛夫寓言集 
52, 14, 327, 1958624, 熙德之歌 
52, 14, 328, 1916491, 绿衣亨利（下） 
52, 14, 329, 2032628, 弃儿汤姆·琼斯史（上下） 
52, 14, 330, 2057659, 朗费罗诗选 
52, 14, 331, 2033622, 巴塞特郡纪事（一） 
52, 14, 332, 1916485, 中洛辛郡的心脏 
52, 14, 333, 1916454, 社会毒瘤 
52, 14, 334, 1921884, 哥尔多尼喜剧三种 
52, 14, 335, 2033638, 轭下 
52, 15, 351, 2032174, 傀儡（上下） 
52, 15, 352, 1981774, 玛丽亚 
52, 15, 353, 2032569, 癞皮鹦鹉 
52, 15, 354, 2040635, 巴塞特郡纪事（二） 
52, 15, 355, 3203175, 忏悔录（第二部） 
52, 15, 356, 2032291, 金人 
52, 15, 357, 2030700, 亚·奥斯特洛夫斯基戏剧选 
52, 15, 358, 3361575, 哈克贝利·费恩历险记 
52, 15, 359, 5289753, 亨利四世（中册） 
52, 15, 360, 5289747, 亨利四世（下册） 
52, 16, 376, 10733634, 绿衣亨利（上） 
52, 16, 377, 3666809, 熙德之歌 (精装) 
52, 16, 378, 3683262, 卡尔德隆戏剧选 
6453, 1, 1, 2040030, 格罗特《希腊史》选 
6453, 1, 2, 2029033, 普鲁塔克《传记集》选 
6453, 1, 3, 5293429, 李维《罗马史》选 
6453, 1, 4, 4825856, 朗克《教皇史》选 
