Doulist, Page, Type 
20172127, 482, 1 
20172127, 483, 2 
20172127, 495, 2 
20172127, 496, 2 
578921, 9, 2 
212335, 2, 2 
212335, 4, 2 
226728, 8, 2 
253360, 2, 2 
253360, 3, 2 
11700, 3, 2 
251325, 1, 2 
251325, 2, 2 
251325, 3, 2 
251325, 4, 2 
69107, 1, 1 
69107, 2, 1 
1197610, 1, 2 
1197610, 4, 1 
1197610, 5, 2 
1197610, 9, 2 
235055, 2, 2 
235055, 3, 2 
235055, 5, 2 
257630, 1, 2 
513669, 9, 2 
513669, 10, 2 
202378, 1, 1 
202378, 5, 1 
327359, 3, 2 
327359, 4, 2 
327359, 8, 2 
1277652, 3, 2 
138965, 2, 2 
138965, 9, 2 
138965, 10, 2 
1235237, 1, 2 
1235237, 2, 2 
38391562, 6, 2 
38391562, 14, 2 
38391562, 16, 2 
38391562, 18, 2 
38391562, 19, 2 
38391562, 20, 2 
38391562, 22, 2 
38391562, 27, 2 
243468, 2, 2 
493336, 1, 2 
141125, 1, 2 
141125, 3, 2 
141125, 4, 1 
186198, 1, 2 
446325, 4, 2 
913288, 1, 2 
176014, 5, 2 
176014, 10, 1 
989078, 1, 2 
989078, 4, 1 
34754, 3, 2 
34754, 9, 2 
125601, 8, 1 
612307, 1, 2 
34772, 1, 2 
37900246, 8, 2 
37900246, 11, 2 
37900246, 12, 2 
40611824, 20, 2 
21121017, 10, 2 
