Doulist, Page, NO., ID, Score, Rating, Votes, Title 
41855072, 5, 124, 25871715, 25.8, 8.2, 93, 性学入门 
41855072, 5, 125, 1778044, 25.3, 8.4, 73, 性學三論：愛情心理學 
41855072, 15, 351, 25971624, 33.1, 8.7, 208, 政治秩序的起源 
41855072, 15, 352, 1267883, 33.6, 9.1, 163, 当代政治哲学（上下） 
41855072, 15, 353, 6710686, 32.1, 9.0, 140, 生命政治的诞生 
41855072, 15, 354, 6953288, 32.3, 9.0, 143, 什么是政治哲学 
41855072, 15, 355, 24758859, 29.5, 8.9, 100, 新政治经济学讲义 
41855072, 15, 356, 1039750, 36.4, 9.0, 269, 政治的概念 
41855072, 15, 357, 1488497, 35.1, 9.1, 204, 中国政治思想史 
41855072, 15, 358, 11229072, 52.2, 9.4, 1919, 中国历代政治得失 
41855072, 15, 359, 3092897, 41.2, 9.1, 515, 政治学说史（上卷） 
41855072, 15, 360, 19976381, 42.5, 8.9, 766, 政治秩序的起源 
41855072, 15, 361, 3682755, 39.2, 8.9, 457, 政治科学（第九版） 
41855072, 15, 362, 1971678, 41.2, 9.3, 427, 国家间政治 
41855072, 15, 363, 4857097, 36.2, 8.9, 288, 政治思考 
41855072, 15, 364, 25950191, 33.0, 9.1, 148, 西方政治思想史（上下册） 
41855072, 15, 365, 3785326, 38.7, 8.4, 710, 黑猩猩的政治 
41855072, 15, 366, 6861475, 30.2, 9.3, 85, 意识探秘 
41855072, 15, 367, 26043897, 22.2, 8.1, 53, 想象 
41855072, 15, 368, 2362451, 24.3, 8.7, 50, 感受发生的一切 
41855072, 15, 369, 1019561, 25.6, 9.0, 51, 心灵的日出-青春心智生活读本2 
41855072, 15, 370, 2185246, 24.3, 8.3, 66, 心智文采 
41855072, 15, 371, 1472347, 23.2, 9.2, 32, 心智探奇 
41855072, 15, 372, 25915629, 39.2, 8.6, 614, 破茧成蝶：用户体验设计师的成长之路 
41855072, 15, 373, 1217740, 18.3, 8.2, 25, 在失败中自觉 
41855072, 15, 374, 25833051, 29.7, 8.6, 130, 幸福的婚姻 
41855072, 15, 375, 11516400, 25.5, 8.9, 54, 消費森林×品牌再生 
41855072, 25, 601, 20429329, 27.4, 8.6, 89, 灵性深处开莲花 
41855072, 25, 602, 4838579, 23.4, 9.3, 31, 靈性法則之光 
41855072, 25, 603, 3388249, 26.2, 9.5, 42, 靈性成長 
41855072, 25, 604, 5255702, 33.8, 9.3, 145, 靈性煉金術 
41855072, 25, 605, 4259780, 29.6, 9.5, 69, 改变心理学的40项研究 
41855072, 25, 606, 10868148, 29.8, 8.9, 105, 改变带来医治 
41855072, 25, 607, 4882130, 25.0, 8.7, 56, 改变就是进步？ 
41855072, 25, 608, 6090958, 31.0, 9.1, 109, 战争改变历史 
41855072, 25, 609, 1780035, 39.5, 8.6, 644, 如何改变世界 
41855072, 25, 610, 2372450, 45.1, 8.6, 1626, 改变，从心开始 
41855072, 25, 611, 25953932, 31.6, 8.2, 255, 第二次机器革命 
